District_name,Below_Primary_Education_Percent,Primary_Education_Percent,Middle_Education_Percent,Secondary_Education_Percent,Higher_Education_Percent,Graduate_Education_Percent,Other_Education_Percent
Shivpuri,32.86,26.95,15.75,10.66,7.36,5.64,0.78
Tikamgarh,28.47,,20.14,10.98,8.19,4.93,0.75
Chhatarpur,29.27,25.5,17.32,12.2,8.4,6.45,0.85
Panna,30.83,24.23,17.82,12.63,8.6,5.35,0.55
Sagar,22.37,27.46,19.11,13.77,8.87,7.51,0.92
Damoh,25.67,,19.46,12.32,8.35,5.34,
Satna,23.37,23.08,21.35,13.61,10.21,7.28,1.11
Rewa,22.83,21.89,20.75,13.68,11.98,8.11,0.76
Umaria,25.85,26.77,21.31,12.36,,5.17,0.79
Neemuch,26.52,24.5,16.03,13.32,10.3,8.16,1.18
Mandsaur,28.61,25.38,17.44,12.82,9.02,6.14,0.58
Ratlam,27.43,23.7,15.79,13.6,10.56,8.2,0.72
Ujjain,24.95,24.39,15.53,13.87,10.41,9.69,1.16
Shajapur,30.44,26.84,15.85,12.5,8.53,,0.38
Dewas,27.01,25.1,16.65,14.01,10.51,6.17,0.56
Dhar,,,,,,,
Indore,18.1,19.95,16.25,15.31,,16.17,1.53
Khargone (West Nimar),29.63,26.49,15.7,11.78,9.24,6.61,0.55
Barwani,31.24,27.23,14.71,11.74,8.47,6.11,0.51
Rajgarh,32.28,23.48,13.93,12.98,9.74,6.94,0.65
Vidisha,29.64,26.28,15.14,12.74,8.03,7.33,0.83
Bhopal,,,,,,,
Sehore,25.34,23.44,17.81,15.77,10.13,6.62,0.88
Raisen,28.58,25.26,17.3,14.16,8.34,,0.55
Betul,24.33,23.66,17.94,14.29,10.76,8.42,0.6
Harda,,,,,,,
Hoshangabad,20.18,23.15,18.33,15.13,11.32,10.71,1.17
Katni,24.17,25.26,19.7,13.67,9.86,6.53,0.81
Jabalpur,15.9,20.9,18.63,15.92,13.23,13.95,1.48
Narsimhapur,,25.0,17.88,,11.39,7.33,0.81
Dindori,25.87,28.6,21.11,12.38,7.81,3.81,0.42
Mandla,,,,,,,
Chhindwara,20.99,24.85,16.67,15.89,12.41,8.3,0.9
Seoni,25.43,27.44,17.24,13.2,9.6,6.37,
Balaghat,23.92,25.73,19.36,13.88,10.39,6.11,
Guna,31.98,,13.66,12.91,8.2,6.81,1.04
Ashoknagar,34.11,26.86,14.41,11.82,6.78,5.23,0.8
Shahdol,,,,,,,
Anuppur,24.7,25.25,20.39,12.77,9.33,6.9,0.67
Sidhi,28.06,25.44,19.56,12.15,9.2,5.0,0.59
Singrauli,32.42,25.68,17.75,10.43,7.24,5.22,1.27
Jhabua,31.92,,13.14,12.41,9.41,6.57,0.64
Alirajpur,28.23,28.61,14.42,11.72,9.88,6.46,0.66
Khandwa (East Nimar),29.0,28.72,16.41,10.97,8.1,6.09,0.71
Burhanpur,25.04,27.82,16.25,13.29,9.92,6.58,1.11
Kachchh,21.46,40.79,12.28,13.67,5.33,5.25,1.22
Banas Kantha,20.39,47.77,8.86,12.6,5.86,3.72,0.8
Patan,,,,,,,
Mahesana,17.65,31.68,12.44,18.05,9.44,8.87,1.86
Sabar Kantha,12.66,35.34,12.5,19.73,11.76,6.55,1.46
Gandhinagar,12.97,34.6,12.73,18.72,9.12,10.33,1.53
Ahmadabad,13.11,27.81,13.87,19.55,9.46,14.46,1.74
Surendranagar,19.74,,13.9,14.53,5.14,4.91,1.22
Rajkot,14.0,33.35,14.68,19.71,7.45,9.72,1.09
Jamnagar,19.37,37.18,14.69,,5.61,6.63,1.41
Porbandar,,,,,,,
Junagadh,14.41,37.12,15.63,16.53,7.29,7.42,1.6
Amreli,22.18,39.67,11.61,14.38,6.43,4.91,0.83
Bhavnagar,20.08,44.18,12.69,13.37,4.58,4.44,0.66
Anand,16.21,35.28,14.41,17.85,8.02,6.94,1.29
Kheda,,,,,,,
Panch Mahals,16.24,38.16,13.04,18.0,8.87,4.56,1.14
Dohad,20.9,38.34,11.14,15.28,9.35,4.05,0.94
Vadodara,13.83,30.18,15.96,17.6,,10.98,2.1
Narmada,20.03,38.56,15.3,,7.47,3.88,0.91
Bharuch,,,,,,,
The Dangs,,40.11,11.87,9.95,5.06,2.33,1.48
Navsari,,,,,,,
Valsad,15.13,27.72,15.7,19.41,11.27,8.31,2.47
Surat,12.59,29.64,17.95,19.95,9.65,8.44,1.78
Tapi,16.55,34.09,14.79,16.95,9.69,6.21,1.72
Diu,5.5,22.52,25.1,26.59,12.83,5.6,1.87
Daman,7.48,23.46,25.39,22.54,11.83,7.62,1.67
Dadra AND Nagar Haveli,11.79,32.99,15.27,18.04,10.83,9.38,1.7
Nandurbar,19.64,25.78,14.31,18.97,13.32,6.89,1.09
Dhule,15.01,24.23,15.62,,13.68,8.61,1.09
Jalgaon,16.0,24.41,17.67,20.81,12.46,7.63,1.03
Buldana,16.25,23.55,20.63,20.94,11.76,5.86,1.01
Akola,,,,,,,
Washim,18.51,26.56,17.82,18.09,12.9,5.32,0.81
Amravati,13.88,19.96,19.71,22.35,14.76,8.65,0.69
Wardha,13.87,18.44,19.89,22.24,15.61,9.26,0.69
Nagpur,8.78,18.0,21.94,21.34,14.64,13.32,1.98
Bhandara,12.13,19.78,22.0,21.53,16.19,7.06,1.31
Gondiya,13.06,,21.8,21.28,15.05,5.46,0.91
Gadchiroli,16.24,21.75,20.81,20.94,14.31,5.34,0.62
Chandrapur,14.94,19.38,20.67,21.55,14.78,7.75,0.92
Yavatmal,18.51,26.58,18.04,,11.61,5.81,1.03
Nanded,17.91,,15.84,17.91,10.98,6.71,0.93
Hingoli,21.3,32.33,15.43,16.5,9.04,4.69,0.72
Parbhani,18.1,31.33,16.13,18.09,9.16,6.42,0.77
Jalna,20.36,,16.39,16.93,9.07,4.81,0.73
Nashik,12.9,24.62,20.18,19.67,11.49,8.84,2.3
Thane,9.2,19.78,,22.63,13.96,,1.48
Mumbai Suburban,6.69,14.89,21.26,25.0,14.25,15.45,2.47
Mumbai,4.63,15.57,23.53,25.91,14.75,13.38,2.22
Pune,8.31,18.33,,21.0,12.87,16.13,2.83
Ahmadnagar,14.22,24.49,,21.91,12.1,9.28,0.95
Bid,18.31,25.8,16.6,18.72,12.21,7.68,0.68
Latur,15.21,23.99,16.81,21.54,12.74,8.68,1.03
Osmanabad,,,,,,,
Solapur,,,,,,,
Satara,12.47,,17.64,24.07,12.97,10.52,0.9
Ratnagiri,13.03,30.25,21.56,19.76,8.92,5.25,1.23
Sindhudurg,12.31,23.53,19.18,24.92,12.67,,0.49
Kolhapur,11.08,21.45,16.79,24.08,13.62,11.56,1.41
Sangli,9.82,23.88,21.62,21.34,11.52,10.07,1.74
Adilabad,17.26,25.55,20.92,16.77,10.63,7.44,1.43
Nizamabad,14.93,23.35,18.77,21.97,12.38,7.86,0.74
Karimnagar,14.64,19.5,20.76,19.93,12.62,11.04,1.52
Medak,15.98,24.82,23.75,18.41,9.95,6.28,0.81
Hyderabad,6.7,17.31,19.89,23.55,15.02,16.2,1.33
Rangareddy,10.79,17.83,19.07,19.37,14.12,17.46,1.35
Mahbubnagar,20.47,29.09,21.55,15.06,8.25,4.79,0.79
Nalgonda,,23.7,21.53,16.79,10.91,8.96,1.23
Warangal,14.21,20.68,20.54,19.45,12.62,11.25,
Khammam,19.06,22.31,21.25,15.39,9.98,10.37,1.64
Srikakulam,,,,,,,
Vizianagaram,20.19,24.19,20.76,15.04,9.28,8.35,2.18
Visakhapatnam,14.61,20.02,22.88,,11.62,10.21,1.56
East Godavari,19.03,26.93,22.67,14.82,7.72,7.48,1.36
West Godavari,21.48,25.94,21.13,14.98,7.79,7.49,1.2
Krishna,19.5,21.86,19.9,16.78,9.87,10.36,1.73
Guntur,22.94,26.36,21.03,14.13,7.68,6.92,0.94
Prakasam,25.77,26.07,19.41,13.1,7.47,7.03,1.16
Sri Potti Sriramulu Nellore,23.47,24.2,,14.34,8.64,7.96,1.5
Y.S.R.,21.94,27.34,22.19,13.89,7.52,6.25,0.87
Kurnool,23.48,30.31,21.03,12.24,6.87,5.2,0.87
Anantapur,19.05,,23.98,13.67,6.68,,
Chittoor,17.07,25.17,21.98,17.9,8.66,8.04,1.18
Belgaum,16.59,32.21,18.57,16.23,8.52,6.15,1.73
Bagalkot,20.7,,12.59,,9.83,7.03,2.2
Bidar,,,,,,,
Raichur,14.81,,16.41,15.37,8.23,5.06,1.47
Koppal,23.47,37.73,13.48,11.94,7.63,4.65,1.1
Gadag,17.3,34.81,16.04,14.96,9.08,5.98,1.82
Dharwad,18.52,28.09,13.6,,10.52,10.1,2.52
Uttara Kannada,17.17,29.25,15.86,18.17,9.38,8.19,1.98
Haveri,20.27,36.23,17.0,13.33,7.1,4.65,1.42
Bellary,18.78,36.06,14.96,13.83,8.27,6.09,2.0
Chitradurga,16.17,28.56,16.87,18.68,11.37,6.46,1.9
Davanagere,16.4,30.26,14.0,18.27,10.48,8.39,2.19
Shimoga,,27.91,21.15,18.15,9.55,8.08,1.3
Udupi,13.99,28.1,17.31,17.49,10.77,10.53,
Chikmagalur,12.85,28.9,17.96,19.92,10.82,8.13,1.42
Tumkur,13.73,25.41,19.65,21.51,10.84,7.3,1.56
Bangalore,6.75,16.99,,22.71,13.47,19.51,2.23
Mandya,11.43,24.36,17.83,24.29,12.42,8.09,1.57
Hassan,13.6,26.45,17.35,21.81,11.03,7.7,2.07
Dakshina Kannada,11.13,30.3,17.23,17.99,10.42,10.82,2.11
Kodagu,11.91,25.9,17.48,20.02,12.75,10.03,1.92
Mysore,10.04,26.06,19.61,,10.77,10.3,1.3
Chamarajanagar,13.08,32.48,21.0,17.35,9.05,5.52,1.52
Gulbarga,11.14,36.27,16.95,18.2,9.63,6.53,1.28
Yadgir,18.67,38.85,14.78,13.95,7.6,5.26,0.88
Kolar,12.79,26.86,21.17,20.9,10.0,6.62,1.66
Chikkaballapura,11.87,26.07,22.96,22.19,9.6,6.53,0.79
Bangalore Rural,14.28,23.82,17.89,23.61,11.65,7.23,1.52
Ramanagara,14.2,27.08,17.2,22.42,11.14,6.68,1.27
North Goa,6.44,15.96,23.39,24.19,13.76,13.64,2.61
South Goa,6.44,15.75,25.86,23.51,13.97,12.39,2.07
Lakshadweep,9.72,23.07,23.83,24.11,11.44,6.01,1.82
Kasaragod,10.81,25.09,21.57,22.36,11.48,7.13,1.55
Kannur,8.94,21.27,21.48,23.6,13.48,9.48,1.76
Wayanad,9.63,21.35,20.22,27.15,12.83,7.53,1.29
Kozhikode,9.03,20.56,23.58,22.98,12.8,9.11,1.94
Malappuram,11.63,21.57,22.8,26.14,11.0,5.7,1.16
Palakkad,10.51,20.78,25.64,24.14,9.79,7.61,1.53
Thrissur,7.99,15.99,18.81,,13.01,12.15,2.57
Ernakulam,7.45,15.67,19.48,24.66,13.68,15.09,3.97
Idukki,8.26,17.39,21.85,27.26,14.24,8.99,2.01
Kottayam,6.56,15.14,20.86,26.53,15.65,12.34,2.92
Alappuzha,6.68,16.79,21.04,28.79,13.8,9.99,2.92
Pathanamthitta,5.76,13.14,,33.36,15.54,11.11,2.92
Kollam,7.35,17.36,24.02,25.41,,9.97,2.73
Thiruvananthapuram,7.27,16.23,22.63,24.03,13.71,13.45,2.68
Thiruvallur,,,,,,,
Chennai,4.59,14.18,19.78,21.99,12.75,24.86,1.85
Kancheepuram,6.38,18.69,21.21,22.11,10.89,18.37,2.35
Vellore,6.47,24.33,24.27,21.63,10.5,10.4,2.4
Tiruvannamalai,11.44,24.83,23.74,19.29,9.79,8.87,2.04
Viluppuram,8.35,26.6,22.62,20.94,10.16,9.45,1.88
Salem,,,,,,,
Namakkal,10.29,24.76,20.62,17.9,10.54,14.1,1.8
Erode,11.59,22.9,21.15,17.81,10.28,14.27,2.01
The Nilgiris,8.08,20.86,22.2,22.69,12.93,11.83,1.41
Dindigul,13.02,24.23,23.36,17.72,9.6,10.22,1.85
Karur,10.09,25.05,22.05,19.31,10.25,11.27,1.97
Tiruchirappalli,10.8,,,19.72,10.5,13.72,3.31
Perambalur,19.22,24.08,19.19,16.16,9.35,9.93,2.07
Ariyalur,,25.18,21.29,,10.12,10.8,3.03
Cuddalore,9.09,22.06,22.41,20.69,9.97,12.17,3.61
Nagapattinam,10.45,24.75,23.98,19.1,9.36,9.62,2.74
Thiruvarur,13.02,23.43,22.84,19.06,9.73,9.28,2.64
Thanjavur,7.63,23.83,23.15,20.58,9.83,12.27,2.72
Pudukkottai,8.33,24.27,23.14,21.58,10.43,9.57,2.68
Sivaganga,10.19,21.73,23.71,19.96,10.41,11.61,2.4
Madurai,9.78,21.89,22.2,18.91,10.43,15.14,1.64
Theni,10.16,24.65,23.95,17.57,10.68,11.34,1.65
Virudhunagar,11.26,27.49,,15.88,9.54,11.55,2.42
Ramanathapuram,20.81,24.77,19.93,15.94,8.93,8.21,1.41
Thoothukkudi,11.08,,22.74,16.35,9.58,11.2,2.27
Tirunelveli,11.31,26.56,22.22,,9.45,10.63,3.07
Kanniyakumari,8.26,20.39,19.32,19.84,13.92,,2.65
Dharmapuri,12.84,23.76,21.88,17.59,10.22,,2.58
Krishnagiri,10.55,22.56,22.46,21.5,10.39,10.65,1.87
Coimbatore,8.8,18.64,20.91,21.01,10.91,17.59,2.14
Tiruppur,11.48,26.5,,17.81,10.19,10.72,
Yanam,9.31,26.81,21.55,19.69,10.04,9.39,3.22
PONDICHERRY,8.46,17.62,20.75,21.03,11.24,,2.4
Mahe,8.0,16.4,21.52,23.8,15.49,12.14,2.65
Karaikal,12.26,21.29,21.65,19.06,10.31,12.29,3.16
Nicobars,8.67,21.57,27.75,22.8,,4.69,1.31
North  AND Middle Andaman,18.47,24.29,24.38,14.55,11.5,5.88,0.93
South Andaman,,,,,,,
